country,substation_id,name,lat,lon,region,verdict,attributed_to,km_outside_own
australia,AU_100235,Albury BSP 235,-33.046521,151.679936,New South Wales,offshore_near,,0.176
australia,AU_100378,Albury ZSub 378,-34.019396,151.170385,New South Wales,offshore_near,,0.188
australia,AU_100592,Bathurst BSP 592,-32.673005,152.023502,New South Wales,offshore_near,,0.635
australia,AU_101454,Albury SwStn 454,-33.587517,151.256331,New South Wales,offshore_near,,0.154
australia,AU_101507,Albury Sub 507,-33.931668,151.275981,New South Wales,offshore_near,,1.612
australia,AU_101938,Albury SwStn 938,-34.159022,151.094035,New South Wales,offshore_near,,0.075
australia,AU_102005,Bathurst ZSub 5,-33.919691,151.275854,New South Wales,offshore_near,,1.043
australia,AU_102042,Albury ZSub 42,-32.621284,152.240911,New South Wales,offshore_near,,0.933
australia,AU_102184,Albury TStn 184,-35.732656,150.253339,New South Wales,offshore_near,,1.691
australia,AU_102229,Bathurst Sub 229,-33.52996,151.196205,New South Wales,offshore_near,,0.364
australia,AU_102791,Mildura BSP 791,-37.891766,144.936076,Victoria,offshore_near,,4.435
australia,AU_102806,Mildura SwStn 806,-37.94258,144.996268,Victoria,offshore_near,,0.149
australia,AU_102850,Shepparton TStn 850,-38.137429,145.113811,Victoria,offshore_near,,0.383
australia,AU_102964,Bendigo ConPt 964,-37.956294,144.773925,Victoria,offshore_near,,2.617
australia,AU_103058,Warrnambool ConPt 58,-37.910252,144.981782,Victoria,offshore_near,,0.522
australia,AU_103079,Bendigo SwStn 79,-37.890588,144.931048,Victoria,offshore_near,,3.912
australia,AU_103133,Mildura ConPt 133,-37.87975,144.848094,Victoria,offshore_near,,1.36
australia,AU_103135,Shepparton ZSub 135,-38.034777,145.09431,Victoria,offshore_near,,0.739
australia,AU_103142,Bendigo BSP 142,-38.055633,144.569691,Victoria,offshore_near,,2.732
australia,AU_103182,Mildura Sub 182,-38.256162,141.762894,Victoria,offshore_near,,0.279
australia,AU_103242,Shepparton BSP 242,-37.881361,144.869105,Victoria,offshore_near,,1.988
australia,AU_103357,Warrnambool ZSub 357,-37.93776,144.755964,Victoria,offshore_near,,0.006
australia,AU_103370,Bendigo BSP 370,-37.851459,144.930325,Victoria,offshore_near,,0.831
australia,AU_103387,Shepparton BSP 387,-38.075847,145.116589,Victoria,offshore_near,,0.206
australia,AU_103414,Shepparton DSub 414,-37.900923,144.969498,Victoria,offshore_near,,1.702
australia,AU_103438,Mildura TStn 438,-37.937292,144.806466,Victoria,offshore_near,,2.153
australia,AU_103523,Bendigo BSP 523,-37.942939,144.969627,Victoria,offshore_near,,2.726
australia,AU_103537,Shepparton DSub 537,-37.909205,144.968057,Victoria,offshore_near,,2.011
australia,AU_103548,Shepparton BSP 548,-38.050545,145.110618,Victoria,offshore_near,,0.008
australia,AU_103585,Bendigo ZSub 585,-37.954443,144.723924,Victoria,offshore_near,,0.033
australia,AU_103617,Mildura ConPt 617,-38.08954,145.119174,Victoria,offshore_near,,0.211
australia,AU_103652,Bendigo TStn 652,-38.010095,144.65574,Victoria,offshore_near,,1.481
australia,AU_103755,Shepparton Sub 755,-37.931046,144.775578,Victoria,offshore_near,,0.028
australia,AU_103763,Bendigo ConPt 763,-37.888416,144.946214,Victoria,offshore_near,,3.5
australia,AU_103782,Shepparton TStn 782,-37.897003,144.835444,Victoria,offshore_near,,2.808
australia,AU_103783,Shepparton DSub 783,-37.908974,144.821541,Victoria,offshore_near,,2.279
australia,AU_103817,Shepparton Sub 817,-38.318265,144.398609,Victoria,offshore_near,,2.277
australia,AU_103864,Shepparton Sub 864,-37.87539,144.932179,Victoria,offshore_near,,3.072
australia,AU_103913,Mildura TStn 913,-37.872281,144.921485,Victoria,offshore_near,,1.854
australia,AU_104015,Bendigo ZSub 15,-37.878204,144.823477,Victoria,offshore_near,,0.425
australia,AU_104114,Mildura ZSub 114,-37.914883,144.85602,Victoria,offshore_far,,5.361
australia,AU_104173,Shepparton BSP 173,-37.893889,144.894944,Victoria,offshore_near,,2.956
